whsturn:whsturn - rdf:about,whsturn:whsturn - dc:type,whsturn:whsturn - dc:title,whsturn:whsturn - rdfs:seeAlso - rdf:resource,whsturn:whsturn - collex:genre,whsturn:whsturn - collex:archive,whsturn:whsturn - collex:federation,whsturn:whsturn - collex:discipline,whsturn:whsturn - role:PBL,whsturn:whsturn - dc:date,whsturn:whsturn - dc:date - collex:date - rdf:value,whsturn:whsturn - dc:date - collex:date - rdfs:label,whsturn:whsturn - role:CRE,whsturn:whsturn - dc:language,whsturn:whsturn - dc:subject
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28721,Manuscript,"Brief Potawatomi Language Vocabularies, 1920-1932",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28721,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,Native Americans
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31715,Codex,Some Things That Girls Should Know How to Do and Hence Should Learn How to Do when in School,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31715,Law,turningpoints-whs,GLA,History,"Washington, D.C.",1911,,,Office of Indian Affairs,English,Female
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31716,Periodical,"February 17, 1932",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31716,Unspecified,turningpoints-whs,GLA,History,"Black River Falls, Wis.",,"1932, 1934",1932-1934,"Low Cloud, Charles Round, 1872-1949",English,
,,,,,,,,,,"1937, 1940",1937-1940,,,
,,,,,,,,,,"1942, 1946",1942-1946,,,
,,,,,,,,,,"1948, 1949",1948-1949,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31717,Periodical,"May 18, 1932",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31717,Unspecified,turningpoints-whs,GLA,History,"Black River Falls, Wis.",,"1932, 1934",1932-1934,"Low Cloud, Charles Round, 1872-1949",English,
,,,,,,,,,,"1937, 1940",1937-1940,,,
,,,,,,,,,,"1942, 1946",1942-1946,,,
,,,,,,,,,,"1948, 1949",1948-1949,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31718,Periodical,"June 22, 1932",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31718,Unspecified,turningpoints-whs,GLA,History,"Black River Falls, Wis.",,"1932, 1934",1932-1934,"Low Cloud, Charles Round, 1872-1949",English,
,,,,,,,,,,"1937, 1940",1937-1940,,,
,,,,,,,,,,"1942, 1946",1942-1946,,,
,,,,,,,,,,"1948, 1949",1948-1949,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31719,Periodical,"July 6, 1932",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31719,Unspecified,turningpoints-whs,GLA,History,"Black River Falls, Wis.",,"1932, 1934",1932-1934,"Low Cloud, Charles Round, 1872-1949",English,
,,,,,,,,,,"1937, 1940",1937-1940,,,
,,,,,,,,,,"1942, 1946",1942-1946,,,
,,,,,,,,,,"1948, 1949",1948-1949,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31720,Periodical,"July 20, 1932",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/31720,Unspecified,turningpoints-whs,GLA,History,"Black River Falls, Wis.",,"1932, 1934",1932-1934,"Low Cloud, Charles Round, 1872-1949",English,
